INDEX,BRANCH_ID,BRANCH_NAME,CATEGORY_ID,SUBCATEGORY_ID,ASSET_DESCRIPTION,ASSET_MANUFACTURER,ASSET_TAGS,ASSET_TYPE,SERVICE_TYPE,STATUS
1,11200,AA,COMPUTER ,CPU,VERITON M200-H61 Series,ACER,UDVD9SI1217C4140736,,WARRANTY,
2,11200,AA,COMPUTER ,CPU,VERITON M200-H61 Series,ACER,UDVD9SI1217C4140737,,WARRANTY,
3,11200,AA,COMPUTER ,MONITOR,ACER/V193HQVB 18.5H,ACER,MMLKXSS001233036114302,,WARRANTY,
4,11200,AA,COMPUTER ,MONITOR,ACER/V193HQVB 18.5H,ACER,MMLKXSS00123303E104302,,WARRANTY,
5,11200,CUDDALORE(HO) BRANCH,COMPUTER ,MONITOR,VERITON M200-G41 Series,ACER,AOCCHDNA4701505Q,,AMC,
6,11235,ANNAMALAI NAGAR,COMPUTER ,CPU,Vostro 200s Seris,DELL,87782BS,,AMC,WORKING
7,11235,ANNAMALAI NAGAR,COMPUTER ,CPU,Vostro 200s Seris,DELL,BIBQ2BS,,AMC,WORKING
8,11235,ANNAMALAI NAGAR,PRINTER,DOT MATRIX,Epson LQ 1310,EPSON,TRMY009575,,,WORKING
9,11235,ANNAMALAI NAGAR,COMPUTER ,MONITOR,DELL/CQCO8701024216,DELL,CN-OMO55F-74261-895-03GS,,AMC,WORKING
10,11235,ANNAMALAI NAGAR,COMPUTER ,MONITOR,DELL/CQCO8701024216,DELL,CN-OMO55F-74261-8BO-9GYU,,AMC,WORKING
11,11235,ANNAMALAI NAGAR,PRINTER,PASS BOOK DMP,PLQ-20,EPSON,RJLY080057,,AMC,WORKING
12,11202,ANNAMALAI NAGAR,SCANNER,SCANNER,J232A,EPSON V39,VCJY000137,,AMC,WORKING
13,11200,CUDDALORE(HO),UPS,UPS,UPS 3000,NUMERIC,II101109701Q,,AMC,
14,11235,ANNAMALAI NAGAR,COMPUTER ,CPU,VERITON M200-H61 Series,ACER,UDVD9SI1217C4140641,,WARRANTY,WORKING
15,11235,ANNAMALAI NAGAR,COMPUTER ,MONITOR,ACER/V193HQVB 18.5H,ACER,MMLKXSS0012330368A4302,,WARRANTY,WORKING
16,11202,BHUVANAGIRI,PRINTER,DOT MATRIX,LQ-1150II,EPSON,JSKY020484,,AMC,
17,11202,BHUVANAGIRI,SWITCH,24 PORT,DX5024WS 10/100 Mbps,DAX,E5024WS-08-28-000244,,NOT AMC,WORKING
18,11202,BHUVANAGIRI,SWITCH,24 PORT,,NET,,,NOT AMC,WORKING
19,11202,BHUVANAGIRI,9URACK,9URACK,9URACK WALL MOUNTING,DAX,DAX9URACK004,,AMC,WORKING
20,11202,BHUVANAGIRI,Camera,Camera,appraiser,,,,,WORKING
21,11202,BHUVANAGIRI,Camera,Camera,casher,,,,,WORKING
22,11202,BHUVANAGIRI,Camera,Camera,Customer,,,chager problem,,NOT WORKING
23,11202,BHUVANAGIRI,Camera,Camera,customer 2,,,,,WORKING
24,11202,BHUVANAGIRI,Camera,Camera,outdoor 1,,,,,WORKING
25,11202,BHUVANAGIRI,Camera,Camera,outdoor 2,,,chager problem,,NOT WORKING
26,11202,BHUVANAGIRI,Camera,Camera,safe,,,,,NOT WORKING
27,11202,BHUVANAGIRI,COMPUTER ,CPU,Vostro 200s Seris,DELL,655Q2BS,,AMC,WORKING
28,11202,BHUVANAGIRI,COMPUTER ,CPU,Vostro 200s Seris,DELL,72DQ2BS,,AMC,WORKING
29,11202,BHUVANAGIRI,COMPUTER ,CPU,Vostro 200s Seris,DELL,F5BQ2BS,,AMC,WORKING
30,11202,BHUVANAGIRI,PRINTER,DOT MATRIX,Epson LQ 1310,EPSON,TRMY009574,,,WORKING
31,11202,BHUVANAGIRI,PRINTER,DOT MATRIX,LQ-1150II,EPSON,JSKY019375,STORE,AMC,NOT WORKING
32,11202,BHUVANAGIRI,PRINTER,DOT MATRIX,MSP 245,TVS,20042601041,STORE,,NOT WORKING
33,11202,BHUVANAGIRI,PRINTER,DOT MATRIX,MSP 355 MARATHON,TVS,HBO3PD000363,STORE,AMC,NOT WORKING
34,11202,BHUVANAGIRI,PRINTER,DOT MATRIX,MSP 355 MARATHON,TVS,HBO3PD000461,,AMC,WORKING
35,11202,BHUVANAGIRI,PRINTER,DOT MATRIX,MSP 355 MARATHON,TVS,HBO3PD000538,STORE,AMC,NOT WORKING
36,11202,BHUVANAGIRI,PRINTER,DOT MATRIX,MSP455XLCLASSIC,TVS,KBL45D000777,STORE,AMC,NOT WORKING
37,11202,BHUVANAGIRI,COMPUTER ,MONITOR,DELL/CQCO8701024216,DELL,CN-OMO55F-74261-8BB-83RU,,AMC,WORKING
38,11202,BHUVANAGIRI,COMPUTER ,MONITOR,DELL/CQCO8701024216,DELL,CN-OMO55F-74261-8BO-9C7U,,AMC,WORKING
39,11202,BHUVANAGIRI,COMPUTER ,MONITOR,DELL/CQCO8701024216,DELL,CN-OMO55F-74261-8BR-9A4U,,AMC,WORKING
40,11202,BHUVANAGIRI,PRINTER,PASS BOOK DMP,PLQ-20,EPSON,G5AY013089,,AMC,WORKING
41,11202,BHUVANAGIRI,SCANNER,SCANNER,J232A,EPSON V30,KRZW008999,,AMC,WORKING
42,11251,NEYVELI (29) BLOCK,UPS,UPS,UPS 3000,NUMERIC,II140100963,,WARRANTY,STIFFTED TO MAIN BAZER
43,11202,BHUVANAGIRI,COMPUTER ,CPU,VERITON M200-G41 Series,ACER,AW142GT014A522356LE,,AMC,WORKING
44,11202,BHUVANAGIRI,COMPUTER ,MONITOR,VERITON M200-G41 Series,ACER,AOCCHDNA4701451,,AMC,WORKING
45,11233,CHIDHAMBARAM,9URACK,9URACK,9URACK WALL MOUNTING,DAX,DAX9URACK018,,AMC,WORKING
46,11233,CHIDHAMBARAM,Camera,Camera,appraiser,,,,,WORKING
47,11233,CHIDHAMBARAM,Camera,Camera,casher,,,,,WORKING
48,11233,CHIDHAMBARAM,Camera,Camera,Customer,,,,,WORKING
49,11233,CHIDHAMBARAM,Camera,Camera,customer 2,,,camera problem,,NOT WORKING
50,11233,CHIDHAMBARAM,Camera,Camera,outdoor 1,,,,,WORKING
51,11233,CHIDHAMBARAM,Camera,Camera,safe,,,,,WORKING
52,11233,CHIDHAMBARAM,COMPUTER ,CPU,SERVER /HP ML350G6,HP,SGH949X328,,AMC,WORKING
53,11233,CHIDHAMBARAM,COMPUTER ,CPU,Vostro 200s Seris,DELL,32DQ2BS,,AMC,WORKING
